int,Int,string
index,id,frame
0,1000,bird_01
0,1001,bird_01_01
0,1002,bird_01_02
0,1003,bird_01_03
1,2000,bird_02
1,2001,bird_02_01
1,2002,bird_02_02
1,2003,bird_02_03
2,3000,bird_03
2,3001,bird_03_01
2,3002,bird_03_02
2,3003,bird_03_03
3,4000,bird_04
3,4001,bird_04_01
3,4002,bird_04_02
3,4003,bird_04_03
4,5000,bird_05
4,5001,bird_05_01
4,5002,bird_05_02
4,5003,bird_05_03
5,6000,bird_06
5,6001,bird_06_01
5,6002,bird_06_02
5,6003,bird_06_03
6,7000,bird_07
6,7001,bird_07_01
6,7002,bird_07_02
6,7003,bird_07_03
7,8000,bird_08
7,8001,bird_08_01
7,8002,bird_08_02
7,8003,bird_08_03
8,9000,bird_09
8,9001,bird_09_01
8,9002,bird_09_02
8,9003,bird_09_03
9,10000,bird_10
9,10001,bird_10_01
9,10002,bird_10_02
9,10003,bird_10_03
10,11000,bird_11
10,11001,bird_11_01
10,11002,bird_11_02
10,11003,bird_11_03
11,12000,bird_12
11,12001,bird_12_01
11,12002,bird_12_02
11,12003,bird_12_03
