stage|Block_lv|Block value|
1|1|1|2
2|2|1|2
3|2|1|2
4|1|1|2
5|2|1|2
6|2|1|2
7|1|1|2
8|2|1|2
9|2|1|2
10|1|1|2
11|4|1|2
12|4|1|2
13|1|1|2
14|1|1|2
15|1|1|2
16|5|1|2
17|6|1|2
18|6|1|2
19|7|1|2
20|5|1|2
21|8|1|2
22|8|1|2
23|8|1|2
24|5|1|2
25|8|1|2
26|8|1|2
27|8|1|2
28|5|1|2
29|9|1|2
30|9|1|2
31|9|1|2
32|9|1|2
33|9|1|2
34|9|1|2
35|9|1|2
36|9|1|2
37|9|1|2
38|9|1|2
39|9|1|2
40|9|1|2
41|9|1|2
42|9|1|2
43|9|1|2
44|9|1|2
45|9|1|2
46|9|1|2
47|9|1|2
48|9|1|2
49|9|1|2
50|11|1|2
51|9|1|2
52|9|1|2
53|9|1|2
54|9|1|2
55|9|1|2
56|9|1|2
57|9|1|2
58|9|1|2
59|9|1|2
60|9|1|2
61|10|1|2
62|10|1|2
63|10|1|2
64|10|1|2
65|10|1|2
66|10|1|2
67|10|1|2
68|10|1|2
69|10|1|2
70|10|1|2
71|10|1|2
72|10|1|2
73|10|1|2
74|10|1|2
75|10|1|2
76|10|1|2
77|10|1|2
78|10|1|2
79|10|1|2
80|10|1|2
81|13|1|2
82|13|1|2
83|13|1|2
84|13|1|2
85|13|1|2
86|13|1|2
87|13|1|2
88|13|1|2
89|13|1|2
90|13|1|2
91|13|1|2
92|13|1|2
93|13|1|2
94|13|1|2
95|13|1|2
96|13|1|2
97|13|1|2
98|13|1|2
99|13|1|2
100|13|2|3
101|14|2|3
102|14|2|3
103|14|2|3
104|14|2|3
105|14|2|3
106|14|2|3
107|14|2|3
108|14|2|3
109|14|2|3
110|14|2|3
111|14|2|3
112|14|2|3
113|14|2|3
114|14|2|3
115|14|2|3
116|14|2|3
117|14|2|3
118|14|2|3
119|14|2|3
120|14|2|3
121|14|2|3
122|14|2|3
123|14|2|3
124|14|2|3
125|14|2|3
126|14|2|3
127|14|2|3
128|14|2|3
129|14|2|3
130|14|2|3
131|14|2|3
132|14|2|3
133|14|2|3
134|14|2|3
135|14|2|3
136|14|2|3
137|14|2|3
138|14|2|3
139|14|2|3
140|14|2|3
141|15|2|3
142|15|2|3
143|15|2|3
144|15|2|3
145|15|2|3
146|15|2|3
147|15|2|3
148|15|2|3
149|15|2|3
150|15|2|3
151|15|2|3
152|15|2|3
153|15|2|3
154|15|2|3
155|15|2|3
156|15|2|3
157|15|2|3
158|15|2|3
159|15|2|3
160|15|2|3
161|15|2|3
162|15|2|3
163|15|2|3
164|15|2|3
165|15|2|3
166|15|2|3
167|15|2|3
168|15|2|3
169|15|2|3
170|15|2|3
171|15|2|3
172|15|2|3
173|15|2|3
174|15|2|3
175|15|2|3
176|15|2|3
177|15|2|3
178|15|2|3
179|15|2|3
180|15|2|3
181|15|2|3
182|15|2|3
183|15|2|3
184|15|2|3
185|15|2|3
186|15|2|3
187|15|2|3
188|15|2|3
189|15|2|3
190|15|2|3
191|15|2|3
192|15|2|3
193|15|2|3
194|15|2|3
195|15|2|3
196|15|2|3
197|15|2|3
198|15|2|3
199|15|2|3
200|15|2|3
201|0|2|3
202|0|2|3
203|0|2|3
204|0|2|3
205|0|2|3
206|0|2|3
207|0|2|3
208|0|2|3
209|0|2|3
210|0|2|3
211|0|3|4
212|0|3|4
213|0|3|4
214|0|3|4
215|0|3|4
216|0|3|4
217|0|3|4
218|0|3|4
219|0|3|4
220|0|3|4
221|0|2|3
222|0|2|3
223|0|2|3
224|0|2|3
225|0|2|3
226|0|2|3
227|0|2|3
228|0|2|3
229|0|2|3
230|0|2|3
231|0|2|4
232|0|2|4
233|0|2|4
234|0|2|4
235|0|2|4
236|0|2|4
237|0|2|4
238|0|2|4
239|0|2|4
240|0|2|4
241|0|2|3
242|0|2|3
243|0|2|3
244|0|2|3
245|0|2|3
246|0|2|3
247|0|2|3
248|0|2|3
249|0|2|3
250|0|2|3
251|0|3|4
252|0|3|4
253|0|3|4
254|0|3|4
255|0|3|4
256|0|3|4
257|0|3|4
258|0|3|4
259|0|3|4
260|0|2|4
261|0|2|3
262|0|2|3
263|0|2|3
264|0|2|3
265|0|2|3
266|0|2|3
267|0|2|3
268|0|2|3
269|0|2|3
270|0|2|3
271|0|2|5
272|0|2|5
273|0|2|5
274|0|2|5
275|0|2|5
276|0|2|5
277|0|2|5
278|0|2|5
279|0|2|5
280|0|2|5
281|0|2|3
282|0|2|3
283|0|2|3
284|0|2|3
285|0|2|3
286|0|2|3
287|0|2|3
288|0|2|3
289|0|2|3
290|0|2|3
291|0|3|5
292|0|3|5
293|0|3|5
294|0|3|5
295|0|3|5
296|0|3|5
297|0|3|5
298|0|3|5
299|0|3|5
300|0|3|5
301|16|2|4
302|16|2|4
303|16|2|4
304|16|2|4
305|16|2|4
306|16|2|4
307|16|2|4
308|16|2|4
309|16|2|4
310|16|2|4
311|16|2|6
312|16|2|6
313|16|2|6
314|16|2|6
315|16|2|6
316|16|2|6
317|16|2|6
318|16|2|6
319|16|2|6
320|16|2|6
321|16|2|4
322|16|2|4
323|16|2|4
324|16|2|4
325|16|2|4
326|16|2|4
327|16|2|4
328|16|2|4
329|16|2|4
330|16|2|4
331|16|2|6
332|16|2|6
333|16|2|6
