Int,Int,Int,Int,Int,Int,Int,String
ID,Name,CareerAct,CareeEnd,Start,End,Reward,RoomFx
1,1101,career_01_01,career_01_01_black,1180,1190,5015,FX_Housing_01
2,1102,career_01_02,career_01_02_black,3480,3490,5016,FX_Housing_20
3,1103,career_01_03,career_01_03_black,5280,5290,5016,
4,1104,career_01_04,career_01_04_black,1480,1490,5016,FX_Housing_03
5,1201,career_02_01,career_02_01_black,1280,1290,5016,
6,1202,career_02_02,career_02_02_black,4280,4290,5016,FX_Housing_06
7,1203,career_02_03,career_02_03_black,2480,2490,5016,FX_Housing_08
8,1204,career_02_04,career_02_04_black,2280,2290,5016,FX_Housing_14
9,1301,career_03_01,career_03_01_black,4480,4490,5016,FX_Housing_13
10,1302,career_03_02,career_03_02_black,5480,5490,5016,FX_Housing_16
11,1303,career_03_03,career_03_03_black,3280,3290,5016,FX_Housing_10
12,1304,career_03_04,career_03_04_black,5180,5190,5016,FX_Housing_04
13,1401,career_04_01,career_04_01_black,4180,4190,5016,FX_Housing_11
14,1402,career_04_02,career_04_02_black,4380,4390,5016,FX_Housing_07
15,1403,career_04_03,career_04_03_black,5380,5390,5016,FX_Housing_05
16,1404,career_04_04,career_04_04_black,2380,2390,5016,
17,1501,career_05_01,career_05_01_black,3380,3390,5016,FX_Housing_02
18,1502,career_05_02,career_05_02_black,1380,1390,5016,FX_Housing_17
19,1503,career_05_03,career_05_03_black,3180,3190,5016,FX_Housing_12
20,1504,career_05_04,career_05_04_black,2180,2190,5016,FX_Housing_09
