Name,X,Y,Size
int,int,int,int
100_1,260,1164,312
100_2,290,1144,300
100_3,364,1276,312
101_1,304,152,292
101_2,342,328,206
101_3,566,248,266
102_1,168,736,210
102_2,148,714,212
102_3,190,730,210
200_1,372,1206,220
200_2,390,1222,244
200_3,360,1188,224
201_1,364,128,216
201_2,458,214,198
201_3,366,132,202
202_1,676,640,206
202_2,552,586,238
202_3,624,592,232
302_1,314,1230,262
302_2,162,1158,378
302_3,410,1188,382
303_1,266,52,378
303_2,328,34,362
303_3,212,166,272
300_1,558,594,282
300_2,662,788,262
300_3,626,690,306
400_1,400,1266,258
400_2,418,1240,324
400_3,338,1138,284
401_1,224,150,512
401_2,202,106,556
401_3,199,70,562
402_1,227,587,506
402_2,225,585,510
402_3,246,606,468
500_1,274,1174,436
500_2,290,1188,436
500_3,298,1238,408
501_1,328,44,368
501_2,378,106,312
501_3,276,28,354
502_1,40,508,510
502_2,126,610,382
502_3,46,468,434
600_1,308,1236,354
600_2,260,1228,402
600_3,210,1236,428
601_1,224,90,376
601_2,279,164,402
601_3,318,112,446
602_1,568,728,326
602_2,530,674,358
602_3,526,674,332
700_1,204,1160,386
700_2,168,1134,428
700_3,276,1182,392
701_1,40,240,348
701_2,118,134,404
701_3,156,108,376
702_1,66,551,578
702_2,84,560,560
702_3,96,567,546
800_1,289,1250,382
800_2,258,1250,386
800_3,288,1268,370
801_1,180,146,434
801_2,168,152,420
801_3,216,170,442
802_1,236,860,120
802_2,328,962,152
802_3,448,974,132
900_1,298,1194,300
900_2,318,1218,364
900_3,316,1192,348
902_1,292,158,344
902_2,460,68,346
902_3,408,178,258
901_1,306,668,218
901_2,278,680,214
901_3,274,688,228
1000_1,420,1206,294
1000_2,366,1188,296
1000_3,192,1186,288
1001_1,106,162,374
1001_2,70,186,346
1001_3,74,96,418
1002_1,154,606,264
1002_2,144,628,336
1002_3,148,636,282
1100_1,334,1123,295
1100_2,294,1120,372
1100_3,312,1120,344
1103_1,364,297,305
1103_2,438,76,376
1103_3,333,133,429
1101_1,403,735,202
1101_2,390,779,184
1101_3,376,778,200
1200_1,280,1050,328
1200_2,280,1050,328
1200_3,280,1050,328
1201_1,255,217,321
1201_2,255,217,321
1201_3,255,217,321
1202_1,591,605,341
1202_2,591,605,341
1202_3,591,605,341
1300_1,309,1123,397
1300_2,309,1123,397
1300_3,309,1123,397
1301_1,51,172,454
1301_2,51,172,454
1301_3,51,172,454
1302_1,593,732,277
1302_2,561,697,286
1302_3,585,681,227
1400_1,228,1186,448
1400_2,228,1186,448
1400_3,228,1186,448
1401_1,339,94,379
1401_2,339,94,379
1401_3,339,94,379
1402_1,122,716,396
1402_2,184,667,414
1402_3,122,716,396
1500_1,363,1087,457
1500_2,363,1087,457
1500_3,363,1087,457
1501_1,324,184,415
1501_2,324,184,415
1501_3,324,184,415
1502_1,437,649,340
1502_2,437,649,340
1502_3,437,649,340
1600_1,333,1174,421
1600_2,333,1174,421
1600_3,333,1174,421
1601_1,321,37,373
1601_2,321,37,373
1601_3,321,37,373
1602_1,564,577,371
1602_2,564,577,371
1602_3,564,577,371
1700_1,273,1021,466
1700_2,273,1021,466
1700_3,135,994,511
1701_1,333,10,360
1701_2,333,10,360
1701_3,333,10,360
1702_1,585,519,301
1702_2,585,519,301
1702_3,585,519,301
1800_1,306,1122,464
1800_2,306,1122,464
1800_3,306,1122,464
1802_1,354,118,421
1802_2,372,121,400
1802_3,354,118,421
1801_1,441,736,325
1801_2,509,720,283
1801_3,441,736,325
1900_1,240,1006,457
1900_2,240,1006,457
1900_3,247,1003,466
1903_1,192,64,529
1903_2,234,178,457
1903_3,258,208,438
1901_1,357,703,253
1901_2,349,709,262
1901_3,357,703,253
2000_1,249,1138,463
2000_2,249,1138,463
2000_3,249,1138,463
2001_1,289,250,388
2001_2,259,187,442
2001_3,259,187,442
2002_1,86,704,236
2002_2,86,704,236
2002_3,86,704,236
