Int,Int,Int,Int,Int,Int
Index,Count,RewardID1,RewardNum1,RewardID2,RewardNum2
1,0,2001,1,-1,-1
2,1,2002,1,2101,1
3,2,2000,1,1000,1
4,3,1002,1,1001,1
5,4,10000,100,1003,1
6,5,5000,1,5006,1
7,6,1000,1,2002,2
8,7,2001,1,2000,2
9,8,2102,1,1001,2
10,9,2000,1,1000,2
11,10,5001,1,5007,1
12,12,1001,1,2200,1
13,14,10000,100,1002,2
14,16,2101,1,10000,500
15,18,2000,1,2001,2
16,20,5002,1,5008,1
17,22,2001,1,1001,2
18,24,10000,100,2201,1
19,26,2002,1,1000,2
20,28,1002,1,2000,2
21,30,5003,1,5009,1
22,34,2100,1,1001,2
23,38,2000,1,2001,2
24,42,1001,1,2202,1
25,46,2001,1,2000,3
26,50,5004,1,5010,1
27,54,1001,1,2002,3
28,58,10000,200,2301,1
29,62,2001,2,1001,3
30,66,1000,1,1003,3
31,70,5005,1,5011,1
