Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int
index,name,room,kind,type,theme,groupIndex,groupUnitIndex,cost,scenario,layer,openLevel,level,senior,offsetX,offsetY,Location
1199,195,1,-1,0,1,-1,-1,1,1100,0,-1,1,-1,-1,-1,0
1198,196,1,-1,0,1,-1,-1,1,1101,1,-1,1,-1,-1,-1,1
1197,197,1,-1,0,1,-1,-1,1,1102,2,-1,1,-1,-1,-1,1
1196,198,1,-1,0,1,-1,-1,1,1103,3,-1,1,-1,-1,-1,1
1195,199,1,-1,0,1,-1,-1,1,1104,4,-1,1,-1,-1,-1,0
1194,113,1,-1,0,1,-1,-1,1,1106,5,-1,1,-1,-1,-1,0
1100,100,1,0,1,3,-1,-1,1,1107,0,1,-1,-1,-1,-1,0
1101,101,1,0,1,3,-1,-1,1,1108,0,1,-1,1100,-1,-1,3
1102,102,1,0,1,3,-1,-1,1,1109,0,1,-1,1101,-1,-1,1
1103,103,1,0,1,3,-1,-1,1,1110,0,1,-1,1102,-1,-1,2
1104,104,1,1,1,3,-1,-1,1,1111,0,1,-1,1103,-1,-1,0
1105,105,1,1,1,3,-1,-1,1,1112,0,1,-1,1104,-1,-1,0
1106,106,1,1,1,3,-1,-1,1,1113,0,1,-1,1105,-1,-1,0
1107,107,1,1,1,3,-1,-1,1,1114,0,1,-1,1106,-1,-1,0
1108,108,1,1,1,3,-1,-1,1,1115,0,1,-1,1107,-1,-1,1
1109,109,1,1,1,3,-1,-1,1,1116,0,1,-1,1108,-1,-1,1
1110,110,1,1,1,3,-1,-1,1,1117,0,1,-1,1109,-1,-1,1
1111,111,1,1,1,3,-1,-1,1,1118,0,1,-1,1110,-1,-1,0
1112,112,1,1,1,3,-1,-1,1,1119,0,1,-1,1111,-1,-1,0
1113,113,1,1,1,3,-1,-1,1,1120,0,1,-1,1112,-1,-1,3
1299,596,5,-1,0,1,-1,-1,1,1200,0,-1,1,-1,-1,-1,3
1298,597,5,-1,0,1,-1,-1,1,1201,0,-1,1,-1,-1,-1,0
1297,598,5,-1,0,1,-1,-1,1,1202,0,-1,1,-1,-1,-1,0
1296,599,5,-1,0,1,-1,-1,1,1203,0,-1,1,-1,-1,-1,1
1200,500,5,0,1,3,-1,-1,1,1204,0,1,-1,-1,-1,-1,0
1201,501,5,0,1,3,-1,-1,1,1205,0,1,-1,1200,-1,-60,3
1202,502,5,0,1,3,-1,-1,1,1206,0,1,-1,1201,-1,-1,0
1203,503,5,0,1,3,-1,-1,1,1207,0,1,-1,1202,-100,-1,0
1204,504,5,1,1,3,-1,-1,1,1208,0,1,-1,1203,-1,-40,2
1205,505,5,1,1,3,-1,-1,1,1209,0,1,-1,1204,-1,-1,0
1206,506,5,1,1,3,-1,-1,1,1210,0,1,-1,1205,-50,-1,0
1207,507,5,1,1,3,-1,-1,1,1211,0,1,-1,1206,-1,-1,0
1208,508,5,1,1,3,-1,-1,1,1212,0,1,-1,1207,-1,-1,0
1209,509,5,1,1,3,-1,-1,1,1213,0,1,-1,1208,-1,-1,0
1210,510,5,1,1,3,-1,-1,1,1214,0,1,-1,1209,-1,-1,1
1211,511,5,1,1,3,-1,-1,1,1215,0,1,-1,1210,-1,-1,1
1212,512,5,1,1,3,-1,-1,1,1216,0,1,-1,1211,-1,-1,1
1213,513,5,1,1,3,-1,-1,1,1217,0,1,-1,1212,-1,-1,1
1399,1894,18,-1,0,1,-1,-1,1,1300,0,-1,1,-1,-1,-1,0
1398,1895,18,-1,0,1,-1,-1,1,1301,0,-1,1,-1,-1,-1,0
1397,1896,18,-1,0,1,-1,-1,1,1302,0,-1,1,-1,-1,-1,1
1396,1897,18,-1,0,1,-1,-1,1,1303,0,-1,1,-1,-1,-1,0
1395,1898,18,-1,0,1,-1,-1,1,1304,0,-1,1,-1,-1,-1,0
1394,1899,18,-1,0,1,-1,-1,1,1305,0,-1,1,-1,-1,-1,1
1393,1812,18,-1,0,1,-1,-1,1,1306,0,-1,1,-1,-1,-1,0
1300,1800,18,0,1,3,-1,-1,1,1307,0,1,-1,-1,-1,-1,0
1301,1801,18,0,1,3,-1,-1,1,1308,0,1,-1,1300,-1,-1,0
1302,1802,18,0,1,3,-1,-1,1,1309,0,1,-1,1301,-1,-1,3
1303,1803,18,1,1,3,-1,-1,1,1310,0,1,-1,1302,-1,-1,0
