Int,Int,Int,Int,Int,Int,Int,Int
ID,Type,Time,Price,Name,Dec,Resource,ItemType
1000,0,-1,600,2,6,1000,0
1001,0,-1,1200,3,7,1001,1
1002,0,-1,1000,4,8,1002,2
1003,0,-1,1400,5,9,1003,3
2000,0,-1,300,221,224,2000,4
2001,0,-1,500,222,225,2001,5
2002,0,-1,600,223,226,2002,6
2100,1,900,300,221,224,2000,4
2101,1,900,500,222,225,2001,5
2102,1,900,600,223,226,2002,6
2200,1,1800,600,221,224,2000,4
2201,1,1800,1000,222,225,2001,5
2202,1,1800,1200,223,226,2002,6
2300,1,3600,1200,221,224,2000,4
2301,1,3600,2000,222,225,2001,5
2302,1,3600,2400,223,226,2002,6
2400,1,43200,1200,221,224,2000,4
2401,1,43200,2000,222,225,2001,5
2402,1,43200,2400,223,226,2002,6
2500,1,86400,1200,221,224,2000,4
2501,1,86400,2000,222,225,2001,5
2502,1,86400,2400,223,226,2002,6
2600,1,172800,1200,221,224,2000,4
2601,1,172800,2000,222,225,2001,5
2602,1,172800,2400,223,226,2002,6
2700,1,360000,1200,221,224,2000,4
2701,1,360000,2000,222,225,2001,5
2702,1,360000,2400,223,226,2002,6
2800,1,21600,1200,221,224,2000,4
2801,1,21600,2000,222,225,2001,5
2802,1,21600,2400,223,226,2002,6
2900,1,7200,1200,221,224,2000,4
2901,1,7200,2000,222,225,2001,5
2902,1,7200,2400,223,226,2002,6
3000,1,10800,1200,221,224,2000,4
3001,1,10800,2000,222,225,2001,5
3002,1,10800,2400,223,226,2002,6
10000,2,-1,-1,-1,-1,10000,7
10001,2,-1,-1,-1,-1,10001,8
10002,2,-1,-1,-1,-1,10002,9
10003,2,-1,-1,-1,-1,10003,10
10004,2,-1,-1,-1,-1,10004,11
2900,3,-1,-1,-1,-1,3,12
2901,3,-1,-1,-1,-1,4,12
