Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int
ID,Reward1,Count1,Reward2,Count2,Reward3,Count3,Reward4,Count4,Reward5,Count5,Reward6,Count6,Reward7,Count7,Reward8,Count8,Reward9,Count9,Reward10,Count10,Reward11,Count11,Reward12,Count12,Resource
5000,2100,1,2001,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000
5001,2002,1,2000,1,1002,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5001
5002,2001,1,1001,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5002
5003,1001,1,2000,1,2001,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5003
5004,2200,1,1000,1,2002,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5004
5005,2000,3,2001,3,2002,3,1002,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000
5006,2101,1,1000,1,10000,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5001
5007,2000,2,2001,2,2002,2,1000,1,10000,200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5002
5008,2300,1,2001,2,1001,2,10000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5003
5009,2002,2,2001,2,1001,2,1002,2,10000,400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5004
5010,2201,1,2200,1,1000,3,10000,400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000
5011,2301,1,2302,1,2300,1,1000,5,10000,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5001
5012,1000,1,1001,2,1002,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5002
5013,2300,1,1000,2,1001,4,1002,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5003
5014,1000,1,1001,2,1002,1,1003,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5004
5015,2200,1,2201,1,2202,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5004
5016,2000,2,2001,2,2002,2,1000,1,1001,1,1002,1,1003,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5004
5017,2000,3,2001,3,2002,3,1000,1,1001,1,1002,1,1003,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5005
5018,2000,2,2001,2,2002,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5006
5019,2000,1,2001,1,2002,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5007
5020,10000,36500,1000,4,1001,4,1002,4,1003,4,2300,1,2301,1,2302,-1,-1,-1,-1,-1,-1,-1,-1,-1,5007
