Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,String,Int,Int
Index,Type,Gold,RewardID1,RewardNum1,RewardID2,RewardNum2,RewardID3,RewardNum3,RewardID4,RewardNum4,RewardID5,RewardNum5,RewardID6,RewardNum6,RewardID7,RewardNum7,RewardID8,RewardNum8,Resource,Key,Name,Band
1,1,50000,1000,12,1001,12,1002,12,1003,12,2500,1,2501,1,2502,1,-1,-1,5,tmh_commonpackage_100000,331,0
2,1,16000,1000,8,1001,8,1002,8,1003,8,2400,1,2401,1,2402,1,-1,-1,4,tmh_commonpackage_50000,332,-1
3,1,11000,1000,4,1001,4,1002,4,1003,4,2800,1,2801,1,2802,1,-1,-1,4,tmh_commonpackage_30000,333,-1
4,1,6500,1000,2,1001,2,1002,2,1003,2,2000,3,2001,3,2002,3,-1,-1,3,tmh_commonpackage_20000,334,0
5,1,3000,1000,1,1001,1,1002,1,1003,1,2000,2,2001,2,2002,2,-1,-1,2,tmh_commonpackage_10000,335,-1
6,1,1500,2000,1,2001,1,2002,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,tmh_commonpackage_5000,336,-1
7,0,95000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,tmh_gold_100000,-1,-1
8,0,43000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,tmh_gold_50000,-1,-1
9,0,21000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,tmh_gold_30000,-1,-1
10,0,13500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,tmh_gold_20000,-1,-1
11,0,6000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,tmh_gold_10000,-1,-1
12,0,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,tmh_gold_2000,-1,-1
