Int,Int,Int,Int,Int,Int,Int,Int
ID,Step,Num1,Num2,Num3,Num4,Balloon,Script
1180,0,1021,1013,-1,1051,1,11700
1180,1,1021,1013,-1,1051,2,11701
1180,2,1021,1013,-1,1051,4,11702
1180,3,1021,1013,-1,1051,1,11703
1180,4,1021,1013,-1,1050,4,11704
1180,5,1020,1010,-1,1051,1,11800
1180,6,1020,1010,-1,1051,4,11801
1180,7,1020,1010,-1,1051,1,11802
1180,8,1020,1010,-1,1051,2,11803
1180,9,1020,1010,-1,1050,4,11804
1180,10,1021,1010,-1,1050,1,11805
1100,0,1010,-1,-1,1020,1,11000
1100,1,1010,-1,-1,1020,4,11001
1101,0,1010,-1,-1,1020,1,11002
1101,1,1010,-1,-1,1020,4,11003
1102,0,1010,-1,-1,1050,4,11004
1102,1,1015,-1,-1,1050,1,11005
1103,0,1010,-1,-1,1023,4,11006
1103,1,1010,-1,-1,1020,1,11007
1104,0,1013,-1,-1,1020,1,11008
1104,1,1010,-1,-1,1020,4,11009
1106,0,1010,-1,-1,1051,4,11012
1106,1,1013,-1,-1,1050,1,11013
1107,0,1013,-1,-1,1050,1,11014
1107,1,1013,-1,-1,1050,4,11015
1108,0,1013,-1,-1,1051,4,11016
1108,1,1013,-1,-1,1050,1,11017
1109,0,1013,-1,-1,1020,1,11018
1109,1,1015,-1,-1,1023,4,11019
1110,0,1013,-1,-1,1050,1,11020
1110,1,1013,-1,-1,1050,4,11021
1111,0,1020,-1,-1,1050,4,11022
1111,1,1020,-1,-1,1050,1,11023
1112,0,1013,-1,-1,1050,1,11024
1112,1,1013,-1,-1,1050,4,11025
1113,0,1020,-1,-1,1050,4,11026
1113,1,1021,-1,-1,1050,1,11027
1114,0,1013,-1,-1,1050,4,11028
1114,1,1013,-1,-1,1050,1,11029
1115,0,1014,-1,-1,1050,1,11030
1115,1,1013,-1,-1,1050,4,11031
1116,0,1013,-1,-1,1050,4,11032
1116,1,1013,-1,-1,1050,1,11033
1117,0,1010,-1,-1,1023,4,11034
1117,1,1011,-1,-1,1020,1,11035
1118,0,1013,-1,-1,1050,4,11036
1118,1,1013,-1,-1,1050,1,11037
1119,0,1010,-1,-1,1050,4,11038
1119,1,1013,-1,-1,1050,1,11039
1120,0,1020,-1,-1,1050,4,11040
1120,1,1021,-1,-1,1050,1,11041
1190,0,1020,1010,-1,1050,4,11900
1190,1,1020,1013,-1,1050,2,11901
1190,2,1023,1015,-1,1050,1,11902
1190,3,1021,1010,-1,1050,1,11903
1280,0,1022,1014,-1,1050,1,12800
1280,1,1022,1014,-1,1050,2,12801
1280,2,1022,1014,-1,1050,4,12802
1280,3,1020,1010,-1,1050,1,12803
1200,0,1010,-1,-1,1020,4,12000
1200,1,1010,-1,-1,1020,1,12001
1201,0,1020,-1,-1,-1,1,12002
1202,0,1013,-1,-1,-1,1,12003
1203,0,1015,-1,-1,-1,1,12004
1204,0,1010,-1,-1,1050,4,12005
1204,1,1010,-1,-1,1050,1,12006
1205,0,1023,-1,-1,1050,1,12007
1205,1,1023,-1,-1,1050,4,12008
1206,0,1011,-1,-1,1050,1,12009
1206,1,1011,-1,-1,1050,4,12010
1207,0,1020,-1,-1,1050,1,12011
1207,1,1020,-1,-1,1050,4,12012
1208,0,1020,-1,-1,1050,4,12013
1208,1,1021,-1,-1,1050,1,12014
1209,0,1014,-1,-1,1050,1,12015
1209,1,1010,-1,-1,1050,4,12016
1210,0,1050,-1,-1,-1,1,12017
1211,0,1050,-1,-1,-1,1,12018
1212,0,1010,-1,-1,1020,4,12019
1212,1,1010,-1,-1,1020,1,12020
1213,0,1010,-1,-1,1020,4,12021
