Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int
ID,Level,Reward1,Count1,Reward2,Count2,Reward3,Count3,Reward4,Count4,Reward5,Count5,Reward6,Count6,Reward7,Count7,Reward8,Count8
1,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
4,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
5,0,10000,50,10001,1,10002,1,10004,1,10003,50,2000,3,2001,3,2002,3
6,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
7,0,10000,50,10001,1,10002,1,10004,1,1000,3,-1,-1,-1,-1,-1,-1
8,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,10000,50,10001,1,10002,1,10004,1,10003,100,-1,-1,-1,-1,-1,-1
10,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,10000,50,10001,1,10002,1,10004,1,1001,3,-1,-1,-1,-1,-1,-1
13,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
15,0,10000,50,10001,1,10002,1,10004,1,10003,50,-1,-1,-1,-1,-1,-1
16,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
17,0,10000,50,10001,1,10002,1,10004,1,1002,3,-1,-1,-1,-1,-1,-1
18,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,10000,50,10001,1,10002,1,10004,1,10003,100,-1,-1,-1,-1,-1,-1
20,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
21,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,10000,50,10001,1,10002,1,10004,1,1003,3,-1,-1,-1,-1,-1,-1
23,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
24,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
25,0,10000,50,10001,1,10002,1,10004,1,10003,50,-1,-1,-1,-1,-1,-1
26,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
27,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
28,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
