Type,Layer,IsMatchAble,IsDestroyAble,IsHitAble,DestroyType,IsMoveAble,IsProliferationAble,ProliferationType,GenerateType,SpriteName,HintSpriteName,
int,int,int,int,int,int,int,int,int,int,string,string,
1,3,1,1,1,0,1,0,-1,-1,puzzle_{0},hint_puzzle_{0},
2,3,1,1,1,0,1,0,-1,-1,Transverse_{0},hint_Transverse_0,
4,3,1,1,1,0,1,0,-1,-1,length_{0},hint_length_0,
8,3,1,1,1,0,1,0,-1,-1,bomb_{0},hint_bomb_0,
16,3,0,1,1,-1,1,0,-1,-1,rainbow_0,hint_rainbow_0,
32,3,0,0,0,-1,0,1,1,6,TrashCan_{0},null,
64,3,0,1,1,1,0,1,1,6,Can_{0},null,
128,1,0,0,0,-1,0,1,0,7,carpet_{0},null,
256,1,0,1,1,2,0,1,1,8,ceramic_{0},null,
512,1,0,1,1,2,0,0,-1,-1,grass_{0},null,
1024,4,0,1,1,2,0,0,-1,-1,chain_{0},null,
2048,4,0,1,1,1,0,0,-1,-1,ice_{0},null,
4096,3,0,1,1,1,1,0,-1,-1,teddybear_{0},null,
8192,3,0,0,1,1,0,0,-1,-1,postbox_{0},null,
16384,3,0,0,0,-1,1,0,-1,-1,lamp{0},null,
32768,3,0,0,0,-1,0,0,-1,-1,spoon{0},null,
65536,3,0,1,1,1,0,0,-1,-1,box_{0},null,
