Type,Level,MakeParticle,DestroyParticle,Zangle
int,int,int,int,int
1,0,-1,0,0
1,1,-1,1,0
1,2,-1,2,0
1,3,-1,3,0
1,4,-1,4,0
2,0,15,10,90
2,1,16,11,90
2,2,17,12,90
2,3,18,13,90
2,4,19,14,90
4,0,5,10,0
4,1,6,11,0
4,2,7,12,0
4,3,8,13,0
4,4,9,14,0
8,0,20,25,0
8,1,21,25,0
8,2,22,25,0
8,3,23,25,0
8,4,24,25,0
16,0,27,-1,0
16,1,28,-1,0
16,2,29,-1,0
16,3,30,-1,0
16,4,31,-1,0
32,0,74,-1,0
64,0,66,65,0
128,0,63,-1,0
256,0,64,58,0
512,0,-1,61,0
512,1,-1,62,0
512,2,-1,62,0
1024,0,-1,59,0
1024,1,-1,59,0
1024,2,-1,59,0
2048,0,-1,60,0
2048,1,-1,60,0
2048,2,-1,60,0
2048,3,-1,60,0
4096,0,-1,69,0
4096,1,-1,70,0
8192,0,-1,68,0
16384,0,75,-1,0
32768,0,-1,-1,0
65536,0,-1,57,0
65536,1,-1,57,0
65536,2,-1,57,0
65536,3,-1,57,0
