categoryid,categoryname,categorycsv,arcadegroup,emojigroup,usedimgid,skipgroupno
1,cat1_butterfly,cat1_butterfly_csv,1,1,0,0
2,cat2_travel,cat2_travel_csv,1,1,0,0
3,cat3_animal,cat3_animal_csv,1,1,0,0
4,cat4_birds,cat4_birds_csv,1,1,0,0
5,cat5_space,cat5_space_csv,1,1,0,0
6,cat6_accessories,cat6_accessories_csv,1,1,0,0
7,cat7_food,cat7_food_csv,1,1,0,0
8,cat8_party,cat8_party_csv,1,1,0,0
9,cat9_love,cat9_love_csv,1,1,0,0
10,cat10_sport,cat10_sport_csv,1,1,0,0
11,cat11_easter,cat11_easter_csv,1,1,0,0
