Block_Lv|Block_index
1|533,534,742,243,644,645,246,247,851,852,753,391
2|131,132,742,645,243,246,247,851,391,753,533
3|131,132,243,246,247,753,742
4|131,132,742,243,644,246,247,852,753
5|131,132,421,422,243,246,247,851,753,645,742
6|131,132,243,246,247,851,753,742
7|246,247,851,391,753,645
8|645,246,247,851,391
9|246,247,851,753,645
10|247,851,753,645
11|247,851,753,645,391
12|421,422,131,132,533,534,641,742,243,644,645,246,247,851,852,753,391,311
13|247,851,753
14|247,851
15|247
16|391
101|131,132,246,247,851,852,753,391
102|131,246,247,851,852,753,391
103|131,246,247,852,753,391
104|131,246,247,852,753
105|131,247,852,753
106|131,247,852
107|247,852
108|247
