LevelId,MainWord,Word,SplitWords,ImageIds,LevelDifficulty,IncludedLetters,ExcludedLetters,Gameplay Letter,FB Image
1,Cupcake,Cup;Cake,,NA,0,,,8,img5e41200cf17af.jpg;img60716befc3cb0.jpg
2,Starfish,Star;Fish,,NA,0,,,10,img61af28a26f027.jpg;img5e2a9cbfef6bb.jpg
3,Earring,Ear;Ring,,NA,0,,,10,img5e1079cd7a949.jpg;img67c6a0d43e819.jpg
4,Sunflower,Sun;Flower,,NA,0,,,12,img61af00d067ab8.jpg;img5e133246228a0.jpg
5,Lipstick,Lip;Stick,,NA,1,,,12,img643409bb17246.jpg;img67c6a1c85a5ff.jpg
6,Doorbell,Door;Bell,,NA,0,,,12,img61af099b3c684.jpg;img5e2183f379ec0.jpg
7,Haircut,Hair;Cut,,NA,0,,,10,img5e12dddf493c7.jpg;img607170bf6e0a7.jpg
8,Bulldog,Bull;Dog,,NA,0,,,12,img641d48bfef858.jpg;img67c6a2ebeaac8.jpg
9,Honeymoon,Honey;Moon,,NA,1,,,14,img5e2eaaab2b1b2.jpg;img5e2ebca38d8d8.jpg
10,Teapot,Tea;Pot,,NA,0,,,10,img5e12c85ecc99d.jpg;img643502c3aa090.jpg
11,Icebox,Ice;Box,,NA,0,,,10,img641d4a5cc8700.jpg;img607414c147286.jpg
12,Blueprint,Blue;Print,,NA,1,,x,12,img641d4dbd75a78.jpg;img641d4c5b8bf6e.jpg
13,Rainbow,Rain;Bow,,NA,0,,,10,img641d4bd203537.jpg;img61389a305f3ae.jpg
14,Eyeglass,Eye;Glass,,NA,0,,hj,12,img61af2c28ea89a.jpg;img61af2c28ee0de.jpg
15,Football,Foot;Ball,,NA,0,,,10,img61af2fe0dedd0.jpg;img5e2aba5e35f13.jpg
16,Friday,Fry;Day,,NA,2,,,10,img5e411a0d0030c.jpg;img608fd3c24a8d7.jpg
17,Keychain,Key;Chain,,NA,0,,,10,img67c6a3a326dcd.jpg;img5e3b9ae5c2a82.jpg
18,Heartbeat,Heart;Beat,,NA,0,,,12,img61af34b6bdf34.jpg;img61af34b6b8e38.jpg
19,Horseshoe,Horse;Shoe,,NA,0,,,12,img61af37226a411.jpg;img626a9f322cfad.jpg
20,Discover,Dish;Cover,,NA,2,,,12,img642fe82b97e84.jpg;img6138a354d76b6.jpg
21,Railroad,Rail;Road,,NA,0,,,10,img60717d48a4ca8.jpg;img5e2bda2227639.jpg
22,Cargo,Car;Go,,NA,1,,,10,img5e2bd04312ad3.jpg;img61af3a1c84543.jpg
23,Buttermilk,Butter;Milk,,NA,0,,,12,img5e3012300f6f5.jpg;img626aa081ece0f.jpg
24,Jumprope,Jump;Rope,,NA,1,,,12,img5e2bdfc431e5a.jpg;img6071806e1be32.jpg
25,Strawberry,Straw;Berry,,NA,0,,,14,img641ac13318a76.jpg;img5e2be4ceea9c7.jpg
26,Ladybug,Lady;Bug,,NA,0,,,10,img61af3fdf9bc8e.jpg;img6433faec6ae47.jpg
27,Pushup,Push;Up,,NA,1,,,10,img626aa1f450e11.jpg;img5e3c03d5f1621.jpg
28,Milkshake,Milk;Shake,,NA,0,,,12,img626aa4129988f.jpg;img61af440477cca.jpg
29,Piggybank,Piggy;Bank,,NA,0,,,12,img5e2fdc4822fd4.jpg;img5e2fe14bdf9cc.jpg
30,Carpenter,Car;Painter,,NA,2,,,12,img67c6a414767dd.jpg;img5e301c3165022.jpg
31,Starlight,Star;Light,,NA,0,,,12,img642d544382c3b.jpg;img5e2ff1f35ba26.jpg
32,Ironman,Iron;Man,,NA,0,,,10,img6138a7c142fff.jpg;img61af089d9d98a.jpg
33,Pineapple,Pine;Apple,,NA,0,,,12,img61af48063435a.jpg;img67c6a64acc646.jpg
34,Doorway,Door;Way,,NA,1,,,12,img5e303de98dd8b.jpg;img5e303ff610deb.jpg
35,Butterfly,Butter;Fly,,NA,0,,,12,img626aa081ecc1f.jpg;img61af49ba5004f.jpg
36,Seashell,Sea;Shell,,NA,0,,,12,img67c6a547c5434.jpg;img615ffe4d95909.jpg
37,Bookstore,Book;Store,,NA,1,,,12,img5ecb61e9450ac.jpg;img5e316caf94e49.jpg
38,Sandstone,Sand;Stone,,NA,0,,,12,img61af4bd9abbe9.jpg;img5e2c376acd086.jpg
39,Hotdog,Hot;Dog,,NA,0,,,10,img61af4c790cb13.jpg;img5e33cb3e70529.jpg
40,Million,Mill;Lion,,NA,2,,,12,img5e2c3a377ccdc.jpg;img5e2c3b103881d.jpg
41,Backbone,Back;Bone,,NA,0,,,10,img60741801bf719.jpg;img5e2c3d43108b8.jpg
42,Waterfall,Water;Fall,,NA,0,,,14,img626aa8e2a35d6.jpg;img5e2ea0733430f.jpg
43,Popcorn,Pop;Corn,,NA,0,,,10,img626aa914bdab0.jpg;img61af56a80cf5d.jpg
44,Laptop,Lap;Top,,NA,1,,,10,img5e423e1eea038.jpg;img5e301a7b8d619.jpg
45,Tablecloth,Table;Cloth,,NA,0,,,12,img67c6a5a401bd9.jpg;img5e32e7e6722ec.jpg
46,Beanbag,Bean;Bag,,NA,0,,,10,img6203899066cb9.jpg;img61af0d2eb14e8.jpg
47,Forehead,Four;Head,,NA,1,,,12,img626aaa4eec860.jpg;img5e411f655bb83.jpg
48,Dollhouse,Doll;House,,NA,0,,,14,img5e2ec9cb4f945.jpg;img5e2ecccc52ed2.jpg
49,Mousetrap,Mouse;Trap,,NA,0,,,12,img6203931906517.jpg;img62039318f0546.jpg
50,Race,Ray;Ace,,NA,2,,,10,img60e53c640e2b5.jpg;img6138a280da70a.jpg
51,Keypad,Key;Pad,,NA,0,,,10,img61b2f22544bed.jpg;img5e317f552a1d6.jpg
52,Teaspoon,Tea;Spoon,,NA,0,,,14,img607420c702ae8.jpg;img5e2ed573a2b99.jpg
53,Windmill,Wind;Mill,,NA,1,,,12,img5e2ed6767bf7d.jpg;img5e2ed72a32b29.jpg
54,Pumpkin,Pump;Keen,,NA,1,,,10,img5e2ed86b80d24.jpg;img64789cf98db3a.jpg
55,Angrybird,Angry;Bird,,NA,0,,,12,img5e2edb98de851.jpg;img5e2edc8eddbb4.jpg
56,Feedback,Feed;Back,,NA,1,,,12,img61af5bfa2ea20.jpg;img60e53d40d8b08.jpg
